937D/A408,RSSI
1411801508885,-77
1411801509605,-78
1411801509633,-78
1411801509934,-78
1411801509954,-78
1411801510393,-77
1411801510436,-77
1411801510808,-78
1411801510832,-78
1411801511408,-78
1411801511434,-78
1411801511736,-77
1411801511759,-77
1411801512104,-77
1411801512174,-77
1411801512445,-74
1411801512479,-74
1411801512912,-77
1411801512936,-77
1411801513177,-74
1411801513208,-74
1411801513812,-78
1411801513847,-78
1411801514276,-77
1411801514308,-77
1411801514520,-77
1411801514552,-77
1411801514975,-73
1411801514995,-73
1411801515293,-74
1411801515326,-74
1411801515604,-77
1411801515631,-77
1411801516367,-78
1411801516392,-78
1411801516660,-77
1411801516698,-77
1411801517003,-77
1411801517066,-77
1411801517404,-74
1411801517435,-74
1411801517854,-74
1411801517894,-74
1411801518504,-78
1411801518547,-78
1411801518863,-74
1411801518889,-74
1411801519495,-79
1411801519515,-79
1411801519888,-74
1411801519911,-74
1411801521622,-75
1411801521645,-75
1411801522032,-79
1411801522064,-79
1411801522291,-74
1411801522315,-74
1411801523035,-74
1411801523384,-77
1411801523406,-77
1411801523773,-78
1411801523806,-78
1411801524796,-78
1411801524841,-78
1411801525829,-74
1411801525868,-74
1411801526171,-74
1411801526193,-74
1411801526603,-77
1411801526634,-77
1411801527254,-75
1411801527292,-75
1411801527704,-77
1411801527724,-77
1411801527992,-76
1411801528022,-76
1411801528374,-77
1411801528408,-77
1411801529793,-84
1411801529829,-84
1411801531553,-82
1411801531579,-82
1411801532319,-77
1411801532341,-77
1411801533170,-78
1411801533198,-78
1411801534146,-79
1411801534167,-79
1411801534428,-81
1411801534462,-81
1411801534910,-85
1411801535139,-87
1411801535161,-87
1411801535559,-86
1411801535589,-86
1411801536622,-86
1411801536656,-86
1411801536876,-74
1411801536901,-74
1411801537714,-86
1411801537954,-86
1411801539045,-80
1411801539072,-80
1411801539380,-78
1411801539407,-78
1411801541218,-77
1411801541275,-77
1411801541522,-80
1411801541542,-80
1411801541839,-77
1411801541866,-77
1411801542195,-75
1411801542217,-75
1411801542549,-75
1411801542572,-75
1411801542914,-73
1411801542961,-73
1411801543293,-73
1411801543328,-73
1411801545051,-74
1411801545071,-74
1411801545443,-77
1411801545480,-77
1411801546235,-84
1411801546255,-84
1411801547587,-77
1411801547611,-77
1411801547878,-73
1411801547901,-73
1411801548738,-80
1411801548759,-80
1411801548902,-81
1411801548924,-81
1411801549980,-77
1411801550023,-77
1411801550673,-81
1411801550696,-81
1411801551033,-78
1411801551086,-78
1411801552818,-82
1411801552847,-82
1411801553586,-84
1411801553622,-84
1411801553941,-79
1411801553973,-79
1411801554635,-79
1411801554655,-79
1411801554978,-86
1411801555003,-86
1411801555330,-83
1411801555357,-83
1411801556066,-81
1411801556121,-81
1411801556445,-82
1411801556471,-82
1411801556725,-78
1411801556753,-78
1411801557175,-79
1411801557198,-79
1411801557641,-78
1411801557665,-78
1411801558262,-78
1411801558291,-78
1411801558581,-78
1411801558602,-78
1411801558929,-89
1411801558952,-89
1411801559557,-78
1411801559689,-78
1411801559970,-75
1411801559993,-75
1411801560702,-76
1411801560724,-76
1411801561077,-82
1411801561107,-82
1411801561779,-81
1411801561806,-81
1411801562856,-82
1411801562894,-82
1411801563225,-77
1411801563258,-77
1411801563912,-79
1411801563995,-79
1411801564958,-80
1411801565816,-77
1411801565845,-77
1411801566396,-80
1411801566442,-80
1411801566670,-79
1411801566696,-79
1411801568152,-80
1411801568178,-80
1411801568526,-86
1411801568548,-86
1411801568802,-80
1411801568823,-80
1411801570250,-79
1411801570309,-79
1411801570613,-82
1411801570658,-82
1411801571320,-87
1411801571370,-87
1411801572039,-81
1411801572060,-81
1411801574152,-80
1411801574174,-80
1411801574501,-74
1411801574536,-74
1411801574827,-71
1411801574849,-71
1411801575229,-74
1411801575254,-74
1411801575610,-72
1411801575647,-72
1411801576169,-71
1411801576191,-71
1411801579420,-72
1411801579441,-72
1411801581243,-71
1411801581263,-71
1411801581990,-71
1411801582012,-71
1411801582652,-73
1411801582673,-73
1411801584724,-71
1411801584747,-71
1411801585079,-73
1411801585111,-73
1411801585431,-70
1411801585457,-70
1411801585789,-73
1411801585839,-73
1411801586168,-71
1411801586198,-71
1411801586501,-72
1411801586529,-72
1411801587233,-73
1411801587254,-73
1411801588284,-73
1411801588318,-73
1411801590056,-74
1411801590078,-74
1411801591834,-73
1411801591863,-73
1411801592188,-71
1411801592213,-71
1411801592603,-68
1411801592626,-68
1411801592939,-72
1411801592959,-72
1411801595023,-73
1411801597198,-71
1411801597225,-71
1411801597550,-73
1411801597571,-73
1411801597898,-71
1411801597923,-71
1411801598289,-73
1411801598312,-73
1411801598633,-71
1411801598665,-71
1411801598968,-71
1411801598990,-71
1411801599321,-73
1411801599343,-73
1411801599663,-71
1411801599684,-71
1411801600479,-73
1411801600500,-73
1411801600725,-73
1411801600747,-73
1411801601108,-72
1411801601129,-72
1411801601464,-71
1411801601500,-71
1411801602199,-73
1411801602218,-73
1411801602892,-71
1411801602913,-71
1411801603219,-72
1411801603257,-72
1411801603963,-72
1411801603995,-72
1411801604663,-72
1411801604688,-72
1411801605308,-72
1411801605332,-72
1411801607432,-72
1411801607572,-72
1411801607786,-72
1411801607815,-72
1411801608911,-71
1411801608942,-71
1411801609932,-73
1411801611004,-73
1411801611040,-73
1411801611679,-72
1411801611706,-72
1411801612030,-71
1411801612067,-71
1411801613108,-71
1411801613148,-71
1411801613452,-71
1411801613480,-71
1411801613801,-70
1411801613832,-70
1411801614514,-74
1411801614553,-74
1411801614932,-71
1411801614977,-71
1411801615212,-73
1411801615243,-73
1411801615589,-72
1411801615642,-72
1411801616272,-72
1411801616295,-72
1411801617077,-74
1411801617099,-74
1411801617342,-73
1411801617377,-73
1411801619809,-72
1411801619869,-72
1411801620567,-74
1411801620590,-74
1411801620867,-71
1411801620889,-71
1411801621937,-72
1411801622319,-71
1411801622351,-71
1411801622659,-72
1411801622684,-72
1411801623005,-72
1411801623039,-72
1411801623739,-72
1411801624125,-72
1411801624145,-72
1411801624412,-72
1411801624441,-72
1411801624767,-72
1411801624792,-72
1411801625121,-71
1411801625155,-71
1411801625478,-71
1411801625502,-71
1411801625945,-71
1411801625975,-71
1411801626571,-73
1411801626607,-73
1411801626914,-72
1411801626963,-72
1411801627265,-71
1411801627299,-71
1411801627627,-73
1411801627660,-73
1411801628322,-71
1411801628349,-71
1411801629100,-73
1411801629402,-71
1411801629448,-71
1411801629758,-72
1411801629791,-72
1411801630169,-72
1411801630211,-72
1411801630470,-73
1411801630516,-73
1411801630837,-72
1411801630878,-72
1411801631171,-72
1411801631191,-72
1411801631526,-72
1411801631548,-72
1411801632305,-73
1411801632337,-73
1411801632631,-72
1411801632656,-72
1411801632968,-73
1411801633007,-73
1411801633321,-73
1411801633348,-73
1411801633661,-71
1411801633693,-71
1411801634014,-70
1411801634041,-70
1411801634382,-70
1411801634434,-70
1411801634727,-70
1411801634748,-70
1411801635823,-74
1411801635855,-74
1411801636231,-73
1411801636262,-73
1411801636924,-73
1411801636947,-73
1411801637266,-71
1411801637287,-71
1411801637629,-72
1411801637669,-72
1411801638299,-72
1411801638331,-72
1411801638645,-70
1411801638682,-70
1411801639695,-71
1411801639726,-71
1411801640059,-71
1411801640090,-71
1411801640503,-71
1411801640530,-71
1411801640761,-73
1411801640802,-73
1411801641841,-72
1411801642552,-72
1411801642581,-72
1411801642895,-70
1411801642954,-70
1411801643236,-71
1411801643269,-71
1411801644350,-73
1411801644373,-73
1411801644656,-73
1411801644681,-73
1411801645397,-73
1411801645432,-73
1411801646439,-72
1411801647215,-74
1411801647252,-74
1411801647502,-73
1411801647530,-73
1411801647844,-71
1411801647880,-71
1411801648548,-72
1411801648570,-72
1411801648914,-75
1411801648953,-75
1411801649259,-72
1411801649280,-72
1411801649674,-73
1411801649701,-73
1411801649963,-72
1411801649983,-72
1411801650363,-71
1411801650424,-71
1411801651053,-73
1411801651084,-73
1411801651751,-71
1411801651784,-71
1411801652100,-72
1411801652144,-72
1411801652831,-73
1411801652851,-73
1411801653172,-72
1411801653207,-72
1411801653515,-70
1411801653543,-70
1411801653910,-73
1411801653935,-73
1411801654989,-73
1411801655015,-73
1411801655285,-73
1411801655320,-73
1411801656141,-71
1411801656163,-71
1411801656332,-72
1411801656351,-72
1411801656714,-71
1411801656748,-71
1411801657048,-72
1411801657073,-72
1411801657429,-71
1411801657470,-71
1411801657782,-72
1411801657816,-72
1411801658115,-71
1411801658195,-71
1411801658463,-72
1411801658487,-72
1411801659208,-72
1411801659240,-72
1411801659545,-71
1411801660297,-73
1411801660330,-73
1411801661098,-71
1411801661125,-71
1411801661338,-72
1411801661684,-71
1411801661718,-71
1411801662053,-71
1411801662085,-71
1411801663112,-71
1411801663133,-71
1411801663443,-72
1411801663671,-72
1411801664208,-73
1411801664241,-73
1411801664857,-71
1411801664890,-71
1411801666019,-72
1411801666039,-72
1411801666270,-75
1411801666303,-75
1411801666642,-70
1411801666679,-70
1411801667389,-71
1411801667422,-71
1411801667754,-72
1411801667780,-72
1411801668086,-73
1411801668122,-73
1411801668405,-73
1411801668435,-73
1411801668801,-72
1411801668834,-72
1411801669479,-73
1411801669512,-73
1411801669842,-73
1411801669876,-73
1411801670159,-74
1411801670204,-74
1411801670582,-70
1411801670602,-70
1411801670907,-73
1411801670942,-73
1411801671298,-73
1411801671330,-73
1411801671582,-73
1411801671607,-73
1411801671939,-73
1411801671979,-73
1411801672306,-72
1411801672347,-72
1411801672754,-71
1411801672781,-71
1411801673026,-71
1411801673061,-71
1411801673759,-72
1411801673782,-72
1411801674071,-72
1411801674102,-72
1411801674479,-74
1411801674508,-74
1411801674809,-72
1411801674925,-72
1411801675182,-73
1411801675203,-73
1411801675500,-71
1411801675534,-71
1411801676187,-74
1411801676207,-74
1411801676558,-71
1411801676591,-71
1411801676933,-71
1411801676966,-71
1411801677319,-71
1411801677475,-71
1411801677974,-71
1411801678002,-71
1411801678345,-74
1411801678380,-74
1411801678692,-71
1411801678719,-71
1411801679034,-73
1411801679067,-73
1411801679832,-72
1411801679858,-72
1411801680085,-71
1411801680119,-71
1411801680428,-72
1411801680454,-72
1411801680791,-71
1411801680826,-71
1411801681529,-71
1411801681564,-71
1411801682267,-73
1411801682290,-73
1411801682658,-73
1411801682689,-73
1411801682939,-71
1411801682962,-71
1411801684095,-73
1411801684380,-73
1411801684405,-73
1411801684845,-73
1411801684871,-73
1411801685471,-73
1411801685497,-73
1411801685777,-74
1411801685798,-74
1411801689290,-74
1411801689327,-74
1411801690006,-70
1411801690039,-70
1411801690753,-73
1411801690783,-73
1411801691156,-70
1411801691200,-70
1411801691448,-72
1411801691469,-72
1411801692188,-73
1411801692218,-73
1411801693613,-71
1411801693660,-71
1411801693888,-73
1411801693918,-73
1411801694270,-72
1411801694334,-72
1411801695030,-72
1411801695054,-72
1411801695306,-72
1411801695340,-72
1411801696124,-73
1411801696146,-73
1411801696360,-72
1411801696382,-72
1411801696742,-73
1411801696767,-73
1411801697487,-73
1411801697518,-73
1411801699248,-71
1411801699271,-71
1411801699571,-75
1411801699604,-75
1411801699931,-74
1411801699989,-74
1411801700983,-68
1411801701017,-68
1411801701351,-71
1411801701383,-71
1411801702066,-73
1411801702097,-73
1411801702399,-74
1411801702433,-74
1411801702765,-74
1411801702816,-74
1411801703550,-73
1411801703586,-73
1411801704198,-71
1411801704260,-71
1411801704523,-73
1411801704546,-73
1411801704886,-73
1411801704927,-73
1411801705249,-72
1411801705294,-72
1411801706077,-73
1411801706099,-73
1411801706278,-74
1411801706303,-74
1411801707035,-73
1411801707059,-73
1411801707340,-73
1411801707361,-73
1411801707704,-73
1411801707727,-73
1411801708065,-72
1411801708130,-72
1411801708762,-71
1411801708805,-71
1411801709171,-72
1411801709196,-72
1411801709472,-71
1411801709501,-71
1411801709833,-73
1411801709878,-73
1411801710195,-71
1411801710225,-71
1411801710589,-72
1411801710716,-72
1411801710889,-72
1411801710910,-72
1411801711275,-71
1411801711307,-71
1411801711617,-74
1411801711653,-74
1411801711965,-72
1411801711991,-72
1411801712309,-72
1411801712329,-72
1411801712677,-74
1411801712719,-74
1411801713171,-73
1411801713192,-73
1411801713749,-73
1411801713781,-73
1411801714089,-74
1411801714143,-74
1411801714445,-74
1411801714485,-74
1411801714814,-70
1411801714845,-70
1411801715608,-73
1411801715629,-73
1411801715848,-73
1411801715878,-73
1411801716564,-72
1411801716612,-72
1411801717312,-72
1411801717336,-72
1411801718500,-70
1411801718520,-70
1411801718690,-72
1411801718756,-72
1411801719407,-73
1411801719440,-73
1411801719809,-72
1411801719841,-72
1411801720476,-72
1411801720500,-72
1411801721248,-72
1411801721280,-72
1411801721548,-73
1411801721573,-73
1411801721919,-72
1411801721950,-72
1411801722374,-71
1411801722395,-71
1411801722622,-70
1411801722659,-70
1411801722967,-71
1411801722990,-71
1411801723713,-73
1411801723755,-73
1411801724744,-71
1411801724777,-71
1411801725101,-73
1411801725172,-73
1411801725532,-71
1411801725561,-71
1411801726150,-74
1411801726175,-74
1411801726869,-72
1411801727566,-72
1411801727591,-72
1411801728010,-71
1411801728059,-71
1411801728279,-72
1411801728333,-72
1411801728986,-71
1411801729023,-71
1411801729339,-73
1411801729370,-73
1411801730417,-70
1411801730438,-70
1411801730806,-72
1411801730827,-72
1411801731125,-73
1411801731164,-73
1411801731473,-71
1411801731505,-71
1411801732234,-73
1411801732258,-73
1411801732571,-74
1411801732610,-74
1411801732896,-70
1411801732933,-70
1411801733655,-72
1411801733686,-72
1411801733961,-71
1411801733994,-71
1411801734307,-72
1411801734327,-72
1411801735426,-72
1411801735460,-72
1411801735743,-73
1411801735782,-73
1411801736551,-72
1411801736570,-72
1411801736810,-73
1411801736847,-73
1411801737170,-72
