B4EC/C0CB,RSSI
1411801555046,-72
1411801555077,-72
1411801555392,-73
1411801555412,-73
1411801555747,-69
1411801555771,-69
1411801556506,-72
1411801556529,-72
1411801556819,-70
1411801556842,-70
1411801557690,-69
1411801557715,-69
1411801558345,-69
1411801558378,-69
1411801558660,-73
1411801558684,-73
1411801558986,-71
1411801559009,-71
1411801559302,-71
1411801559324,-71
1411801559724,-68
1411801559745,-68
1411801560039,-68
1411801560072,-68
1411801560372,-72
1411801560396,-72
1411801560766,-68
1411801560786,-68
1411801561150,-72
1411801561217,-72
1411801561452,-73
1411801561528,-73
1411801561832,-76
1411801561855,-76
1411801562264,-76
1411801562284,-76
1411801562511,-72
1411801562533,-72
1411801562926,-74
1411801562949,-74
1411801563315,-77
1411801563348,-77
1411801564286,-70
1411801564321,-70
1411801564636,-67
1411801564675,-67
1411801564994,-67
1411801565878,-72
1411801565900,-72
1411801566044,-71
1411801566072,-71
1411801566472,-72
1411801566492,-72
1411801566757,-75
1411801566780,-75
1411801567242,-71
1411801567268,-71
1411801567462,-71
1411801567498,-71
1411801567826,-68
1411801567878,-68
1411801568881,-73
1411801568908,-73
1411801569233,-72
1411801569257,-72
1411801569683,-71
1411801569718,-71
1411801570869,-68
1411801570892,-68
1411801571017,-65
1411801571039,-65
1411801571472,-71
1411801571499,-71
1411801571738,-64
1411801571765,-64
1411801572447,-70
1411801572477,-70
1411801572808,-65
1411801572842,-65
1411801573163,-70
1411801573192,-70
1411801573635,-70
1411801573660,-70
1411801573863,-64
1411801573888,-64
1411801574659,-72
1411801574680,-72
1411801574939,-64
1411801574960,-64
1411801575296,-73
1411801575326,-73
1411801575768,-70
1411801575868,-70
1411801576860,-72
1411801576881,-72
1411801577046,-72
1411801577131,-72
1411801577444,-71
1411801577469,-71
1411801577759,-65
1411801577784,-65
1411801578118,-70
1411801578152,-70
1411801578558,-65
1411801578585,-65
1411801579211,-66
1411801579233,-66
1411801579526,-71
1411801579557,-71
1411801580358,-71
1411801580381,-71
1411801580592,-71
1411801580633,-71
1411801580966,-70
1411801581110,-70
1411801581648,-65
1411801581669,-65
1411801582137,-70
1411801582216,-70
1411801582353,-73
1411801582379,-73
1411801582751,-66
1411801582772,-66
1411801583077,-65
1411801583102,-65
1411801583408,-70
1411801583436,-70
1411801583787,-72
1411801583910,-72
1411801584134,-64
1411801584160,-64
1411801584915,-72
1411801584939,-72
1411801585187,-71
1411801585210,-71
1411801586863,-65
1411801586890,-65
1411801587348,-68
1411801587369,-68
1411801588043,-71
1411801588065,-71
1411801588465,-71
1411801588503,-71
1411801588719,-64
1411801588742,-64
1411801589427,-72
1411801589499,-72
1411801589869,-72
1411801589893,-72
1411801590194,-72
1411801590222,-72
1411801590505,-72
1411801590533,-72
1411801590846,-63
1411801590872,-63
1411801591211,-71
1411801591262,-71
1411801591997,-65
1411801592019,-65
1411801593102,-65
1411801593129,-65
1411801593698,-71
1411801593736,-71
1411801594041,-70
1411801594082,-70
1411801594385,-65
1411801594412,-65
1411801595111,-72
1411801595133,-72
1411801595463,-64
1411801595489,-64
1411801595991,-72
1411801596011,-72
1411801596540,-71
1411801596900,-72
1411801596948,-72
1411801597299,-71
1411801597324,-71
1411801597702,-65
1411801597724,-65
1411801598041,-71
1411801598061,-71
1411801599071,-71
1411801599092,-71
1411801599424,-65
1411801599445,-65
1411801599769,-65
1411801599790,-65
1411801600167,-64
1411801600244,-64
1411801600570,-71
1411801600601,-71
1411801600786,-65
1411801600807,-65
1411801601606,-71
1411801601640,-71
1411801601872,-65
1411801601906,-65
1411801602311,-64
1411801602431,-64
1411801602985,-64
1411801603009,-64
1411801603288,-65
1411801603322,-65
1411801604155,-71
1411801604175,-71
1411801604763,-73
1411801604786,-73
1411801605219,-65
1411801605240,-65
1411801605377,-65
1411801605403,-65
1411801605750,-72
1411801605771,-72
1411801606139,-71
1411801606184,-71
1411801606477,-64
1411801606513,-64
1411801607220,-71
1411801607241,-71
1411801607639,-71
1411801607662,-71
1411801608003,-72
1411801608036,-72
1411801608236,-65
1411801608269,-65
1411801608577,-71
1411801608666,-71
1411801609359,-70
1411801609383,-70
1411801610030,-72
1411801610151,-72
1411801610348,-71
1411801610427,-71
1411801610747,-64
1411801610779,-64
1411801611522,-71
1411801611545,-71
1411801611762,-72
1411801611790,-72
1411801612250,-71
1411801612300,-71
1411801612654,-65
1411801612678,-65
1411801613273,-68
1411801613292,-68
1411801613606,-65
1411801613632,-65
1411801614022,-65
1411801614044,-65
1411801614308,-73
1411801614341,-73
1411801614846,-68
1411801614866,-68
1411801615347,-72
1411801615379,-72
1411801615742,-73
1411801615781,-73
1411801616095,-65
1411801616133,-65
1411801616419,-72
1411801616443,-72
1411801616819,-64
1411801617543,-70
1411801617562,-70
1411801617868,-72
1411801617901,-72
1411801618217,-71
1411801618241,-71
1411801618516,-71
1411801618540,-71
1411801619321,-65
1411801619357,-65
1411801619625,-72
1411801619653,-72
1411801620695,-72
1411801620724,-72
1411801620999,-65
1411801621068,-65
1411801621348,-72
1411801621375,-72
1411801622080,-70
1411801622117,-70
1411801622429,-72
1411801622462,-72
1411801623212,-64
1411801623244,-64
1411801623629,-73
1411801623662,-73
1411801624039,-72
1411801624061,-72
1411801624242,-71
1411801624589,-73
1411801624611,-73
1411801624946,-72
1411801624970,-72
1411801625325,-70
1411801625345,-70
1411801625663,-70
1411801625729,-70
1411801626127,-65
1411801626159,-65
1411801626404,-70
1411801626440,-70
1411801626789,-64
1411801627141,-70
1411801627163,-70
1411801627470,-70
1411801627502,-70
1411801627816,-70
1411801627962,-70
1411801628126,-64
1411801628150,-64
1411801628530,-70
1411801628562,-70
1411801628864,-65
1411801628897,-65
1411801629200,-73
1411801629232,-73
1411801629588,-65
1411801630067,-73
1411801630101,-73
1411801630697,-70
1411801630731,-70
1411801631006,-64
1411801631031,-64
1411801631355,-64
1411801631379,-64
1411801631685,-64
1411801631710,-64
1411801632065,-71
1411801632220,-71
1411801633125,-64
1411801633150,-64
1411801633458,-72
1411801633483,-72
1411801633847,-72
1411801633872,-72
1411801634180,-71
1411801634204,-71
1411801634641,-65
1411801634661,-65
1411801634856,-66
1411801634881,-66
1411801635267,-71
1411801635300,-71
1411801635650,-65
1411801635682,-65
1411801636397,-73
1411801636418,-73
1411801636640,-64
1411801636665,-64
1411801637162,-72
1411801637188,-72
1411801637844,-64
1411801637883,-64
1411801638389,-70
1411801638422,-70
1411801638876,-73
1411801638953,-73
1411801639092,-72
1411801639123,-72
1411801639495,-71
1411801639635,-71
1411801640196,-64
1411801640231,-64
1411801640650,-64
1411801640680,-64
1411801640927,-64
1411801640951,-64
1411801641640,-71
1411801641666,-71
1411801642071,-64
1411801642092,-64
1411801642691,-69
1411801642714,-69
1411801643142,-71
1411801643162,-71
1411801643387,-64
1411801643418,-64
1411801643776,-70
1411801643808,-70
1411801644802,-64
1411801644832,-64
1411801645605,-72
1411801645633,-72
1411801645868,-64
1411801645890,-64
1411801646615,-73
1411801646698,-73
1411801647084,-70
1411801647111,-70
1411801647657,-71
1411801647678,-71
1411801648401,-65
1411801648427,-65
1411801648664,-70
1411801648707,-70
1411801649369,-71
1411801649389,-71
1411801650559,-72
1411801650579,-72
1411801650876,-72
1411801650901,-72
1411801651163,-70
1411801651210,-70
1411801651953,-72
1411801651986,-72
1411801652308,-70
1411801652329,-70
1411801652973,-71
1411801652995,-71
1411801653334,-64
1411801653393,-64
1411801653801,-65
1411801653824,-65
1411801654032,-72
1411801654055,-72
1411801655136,-64
1411801655160,-64
1411801655530,-65
1411801655559,-65
1411801655868,-72
1411801655901,-72
1411801656272,-65
1411801656292,-65
1411801656911,-70
1411801656935,-70
1411801657215,-64
1411801657238,-64
1411801657578,-71
1411801657621,-71
1411801657972,-70
1411801658005,-70
1411801658356,-64
1411801658375,-64
1411801658655,-70
1411801658687,-70
1411801659399,-71
1411801659433,-71
1411801659750,-70
1411801659773,-70
1411801660476,-71
1411801660783,-65
1411801660807,-65
1411801661221,-64
1411801661243,-64
1411801661528,-68
1411801661578,-68
1411801662279,-72
1411801662301,-72
1411801662894,-72
1411801662913,-72
1411801663250,-70
1411801663274,-70
1411801663790,-72
1411801663810,-72
1411801663961,-69
1411801663984,-69
1411801664436,-73
1411801664470,-73
1411801664711,-70
1411801664750,-70
1411801665028,-70
1411801665062,-70
1411801665789,-64
1411801665947,-64
1411801666862,-71
1411801666895,-71
1411801667222,-72
1411801667278,-72
1411801667888,-71
1411801667912,-71
1411801668215,-72
1411801668240,-72
1411801668581,-73
1411801668617,-73
1411801669074,-65
1411801669097,-65
1411801669322,-72
1411801669359,-72
1411801669643,-71
1411801669674,-71
1411801670013,-65
1411801670502,-72
1411801670521,-72
1411801670727,-72
1411801670754,-72
1411801671452,-71
1411801671482,-71
1411801671794,-64
1411801671826,-64
1411801672655,-71
1411801672680,-71
1411801673240,-72
1411801673271,-72
1411801673654,-70
1411801673676,-70
1411801673893,-70
1411801673917,-70
1411801675084,-70
1411801675116,-70
1411801675339,-65
1411801675368,-65
1411801675956,-71
1411801675975,-71
1411801676045,-71
1411801676087,-71
1411801677626,-72
1411801677647,-72
1411801677838,-70
1411801677860,-70
1411801678190,-64
1411801678218,-64
1411801679597,-71
1411801679616,-71
1411801679951,-70
1411801679979,-70
1411801680317,-71
1411801680341,-71
1411801680640,-70
1411801680673,-70
1411801681047,-69
1411801681079,-69
1411801681385,-64
1411801681455,-64
1411801681707,-73
1411801681731,-73
1411801682064,-70
1411801682202,-70
1411801682409,-69
1411801682431,-69
1411801682814,-72
1411801682842,-72
1411801683539,-70
1411801683570,-70
1411801684233,-72
1411801684261,-72
1411801684552,-73
1411801684574,-73
1411801684994,-64
1411801685020,-64
1411801685613,-72
1411801685640,-72
1411801685977,-73
1411801686019,-73
1411801686683,-72
1411801686712,-72
1411801687058,-70
1411801687791,-70
1411801687829,-70
1411801688453,-72
1411801688472,-72
1411801688860,-71
1411801688881,-71
1411801689219,-65
1411801689252,-65
1411801689574,-71
1411801689607,-71
1411801689932,-70
1411801689964,-70
1411801691280,-73
1411801691303,-73
1411801691634,-72
1411801691660,-72
1411801692341,-64
1411801692360,-64
1411801693040,-64
1411801693068,-64
1411801693404,-72
1411801693429,-72
1411801693750,-70
1411801693774,-70
1411801694522,-71
1411801694560,-71
1411801694867,-71
1411801694950,-71
1411801695538,-65
1411801695571,-65
1411801695987,-71
1411801696011,-71
1411801696954,-64
1411801696981,-64
1411801697318,-72
1411801697414,-72
1411801697658,-71
1411801697683,-71
