BD14/AEEF,RSSI
1411801655386,-73
1411801655429,-73
1411801655661,-75
1411801655689,-75
1411801656186,-71
1411801656207,-71
1411801656377,-74
1411801656397,-74
1411801657105,-74
1411801657129,-74
1411801657499,-73
1411801657535,-73
1411801658220,-74
1411801658335,-74
1411801658882,-74
1411801658919,-74
1411801659940,-73
1411801659965,-73
1411801660367,-72
1411801660403,-72
1411801660648,-76
1411801660672,-76
1411801661750,-73
1411801661784,-73
1411801662420,-72
1411801662449,-72
1411801662771,-72
1411801662793,-72
1411801663154,-74
1411801663178,-74
1411801663698,-72
1411801663719,-72
1411801664279,-68
1411801664313,-68
1411801664556,-72
1411801664590,-72
1411801664931,-74
1411801664965,-74
1411801665257,-74
1411801665282,-74
1411801665624,-72
1411801665657,-72
1411801666060,-72
1411801666079,-72
1411801666331,-73
1411801666375,-73
1411801666712,-73
1411801666745,-73
1411801667459,-74
1411801667498,-74
1411801668469,-73
1411801668499,-73
1411801668866,-73
1411801668930,-73
1411801669548,-73
1411801669579,-73
1411801669900,-74
1411801669924,-74
1411801670364,-74
1411801670391,-74
1411801670975,-73
1411801671007,-73
1411801671352,-73
1411801671376,-73
1411801672018,-72
1411801672050,-72
1411801672371,-75
1411801672396,-75
1411801672803,-74
1411801672825,-74
1411801673092,-73
1411801673134,-73
1411801673405,-73
1411801673453,-73
1411801673808,-74
1411801673831,-74
1411801674142,-74
1411801674179,-74
1411801674531,-73
1411801674556,-73
1411801674958,-74
1411801675002,-74
1411801675574,-74
1411801675631,-74
1411801676237,-72
1411801676264,-72
1411801676618,-72
1411801676641,-72
1411801677503,-74
1411801677524,-74
1411801678413,-75
1411801678448,-75
1411801678752,-74
1411801678801,-74
1411801679102,-74
1411801679135,-74
1411801679438,-75
1411801679468,-75
1411801679886,-72
1411801679917,-72
1411801680201,-70
1411801680227,-70
1411801680499,-74
1411801680523,-74
1411801680871,-74
1411801680903,-74
1411801681593,-72
1411801681617,-72
1411801681928,-73
1411801681960,-73
1411801682312,-73
1411801682336,-73
1411801682712,-73
1411801682744,-73
1411801682999,-74
1411801683024,-74
1411801683354,-72
1411801683397,-72
1411801683716,-75
1411801683760,-75
1411801684898,-72
1411801684922,-72
1411801685143,-74
1411801685196,-74
1411801685526,-72
1411801685551,-72
1411801685852,-73
1411801685882,-73
1411801686213,-74
1411801686245,-74
1411801686557,-72
1411801686580,-72
1411801686917,-75
1411801686948,-75
1411801687335,-72
1411801687360,-72
1411801687616,-75
1411801687650,-75
1411801687982,-72
1411801688019,-72
1411801688345,-72
