F021/9E93,RSSI
1411801570044,-76
1411801570081,-76
1411801570401,-71
1411801570429,-71
1411801571108,-74
1411801571134,-74
1411801571527,-72
1411801571596,-72
1411801571835,-74
1411801571866,-74
1411801572909,-71
1411801572940,-71
1411801573681,-73
1411801573703,-73
1411801573953,-73
1411801573978,-73
1411801574303,-72
1411801574332,-72
1411801575012,-72
1411801575035,-72
1411801575370,-73
1411801575394,-73
1411801576062,-73
1411801576085,-73
1411801576275,-72
1411801576299,-72
1411801577176,-73
1411801577199,-73
1411801577521,-72
1411801577544,-72
1411801578326,-71
1411801578348,-71
1411801578611,-72
1411801578633,-72
1411801578928,-73
1411801578977,-73
1411801579624,-71
1411801579652,-71
1411801579981,-72
1411801580028,-72
1411801580401,-72
1411801580421,-72
1411801580732,-73
1411801580753,-73
1411801581144,-71
1411801581165,-71
1411801581748,-73
1411801581769,-73
1411801583162,-72
1411801583520,-73
1411801583552,-73
1411801583965,-72
1411801583986,-72
1411801584975,-72
1411801585001,-72
1411801586033,-71
1411801586080,-71
1411801586357,-74
1411801586384,-74
1411801586911,-73
1411801586932,-73
1411801587069,-73
1411801587190,-73
1411801588529,-72
1411801588560,-72
1411801588888,-72
1411801588920,-72
1411801589226,-73
1411801589247,-73
1411801589544,-72
1411801589567,-72
1411801589929,-73
1411801589987,-73
1411801590607,-72
1411801590717,-72
1411801590967,-71
1411801591009,-71
1411801591324,-70
1411801591346,-70
1411801592051,-73
1411801592073,-73
1411801592506,-72
1411801592536,-72
1411801593151,-73
1411801593171,-73
1411801593803,-72
1411801593826,-72
1411801594140,-72
1411801594164,-72
1411801594507,-72
1411801594542,-72
1411801594853,-73
1411801594891,-73
1411801595198,-72
1411801595254,-72
1411801595556,-71
1411801595583,-71
1411801596040,-72
1411801596066,-72
1411801596264,-72
1411801596284,-72
1411801596630,-73
1411801596660,-73
1411801597359,-72
1411801597380,-72
1411801597761,-68
1411801597782,-68
1411801598194,-73
1411801598217,-73
1411801599134,-73
1411801599156,-73
1411801599485,-72
1411801599507,-72
1411801599829,-72
1411801599851,-72
1411801600371,-72
1411801600394,-72
1411801600978,-72
1411801601020,-72
1411801601251,-72
1411801601277,-72
1411801602700,-72
1411801602768,-72
1411801603393,-72
1411801603438,-72
1411801603746,-72
1411801603778,-72
1411801604195,-73
1411801604222,-73
1411801605513,-73
1411801605601,-73
1411801605867,-72
1411801605890,-72
1411801606238,-72
1411801606271,-72
1411801606597,-72
1411801606694,-72
1411801606930,-72
1411801606954,-72
1411801608068,-73
1411801608101,-73
1411801608365,-68
1411801608398,-68
1411801608717,-72
1411801608755,-72
1411801609076,-72
1411801609110,-72
1411801610202,-68
1411801610223,-68
1411801610845,-68
1411801610888,-68
1411801611225,-73
1411801611259,-73
1411801611571,-73
1411801611594,-73
1411801611895,-73
1411801611918,-73
1411801612336,-71
1411801612711,-73
1411801612772,-73
1411801612952,-72
1411801612973,-72
1411801613316,-73
1411801613340,-73
1411801614393,-72
1411801614432,-72
1411801614887,-72
1411801614907,-72
1411801615836,-72
1411801615880,-72
1411801616213,-72
1411801616237,-72
1411801616518,-73
1411801616554,-73
1411801616880,-72
1411801616915,-72
1411801617588,-72
1411801617609,-72
1411801617950,-72
1411801617984,-72
1411801618300,-72
1411801618327,-72
1411801618651,-73
1411801618682,-73
1411801619009,-73
1411801619043,-73
1411801619379,-72
1411801619403,-72
1411801619715,-72
1411801619751,-72
1411801620070,-72
1411801620103,-72
1411801620769,-72
1411801620792,-72
1411801621138,-72
1411801621186,-72
1411801621502,-72
1411801621534,-72
1411801621838,-72
1411801621865,-72
1411801622233,-72
1411801622270,-72
1411801622596,-73
1411801622621,-73
1411801622911,-73
1411801622947,-73
1411801623285,-72
1411801623319,-72
1411801624082,-72
1411801624103,-72
1411801624336,-72
1411801624361,-72
1411801624716,-72
1411801624736,-72
1411801625047,-73
1411801625073,-73
1411801626187,-72
1411801626211,-72
1411801626498,-72
1411801626530,-72
1411801627191,-72
1411801627216,-72
1411801627546,-72
1411801627586,-72
1411801627992,-72
1411801628042,-72
1411801628239,-72
1411801628263,-72
1411801628603,-72
1411801628635,-72
1411801628958,-71
1411801628993,-71
1411801629312,-72
1411801629350,-72
1411801629671,-72
1411801629703,-72
1411801630128,-72
1411801630148,-72
1411801630371,-73
1411801630391,-73
1411801631078,-73
1411801631098,-73
1411801631435,-72
1411801631459,-72
1411801631793,-72
1411801631823,-72
1411801632247,-72
1411801632276,-72
1411801632504,-72
1411801632550,-72
1411801632863,-73
1411801632889,-73
1411801635000,-72
1411801635034,-72
1411801635731,-73
1411801635765,-73
1411801636095,-71
1411801636181,-71
1411801637213,-72
1411801637238,-72
1411801637486,-72
1411801637522,-72
1411801638202,-72
1411801638251,-72
1411801638554,-72
1411801638587,-72
1411801639261,-72
1411801639299,-72
1411801639965,-72
1411801640010,-72
1411801640327,-72
1411801640380,-72
1411801641028,-72
1411801641062,-72
1411801641389,-72
1411801641423,-72
1411801641744,-72
1411801641779,-72
1411801642112,-71
1411801642142,-71
1411801642801,-71
1411801642828,-71
1411801643190,-72
1411801643870,-71
1411801643907,-71
1411801644254,-72
1411801644322,-72
1411801644574,-72
1411801644597,-72
1411801645661,-73
1411801645685,-73
1411801645984,-72
1411801646009,-72
1411801646345,-71
1411801646379,-71
1411801646735,-72
1411801646772,-72
1411801647169,-73
1411801647194,-73
1411801647411,-72
1411801647434,-72
1411801649194,-74
1411801649234,-74
1411801649624,-73
1411801649650,-73
1411801649884,-73
1411801649904,-73
1411801650612,-71
1411801650641,-71
1411801650960,-72
1411801650995,-72
1411801651311,-72
1411801651336,-72
1411801651670,-71
1411801651700,-71
1411801652376,-71
1411801652411,-71
1411801652776,-72
1411801652806,-72
1411801653098,-71
1411801653125,-71
1411801653452,-72
1411801653481,-72
1411801653854,-72
1411801653881,-72
1411801654163,-72
1411801654194,-72
1411801654510,-72
1411801654550,-72
1411801654929,-72
1411801654961,-72
1411801655220,-72
1411801655247,-72
1411801655591,-72
1411801655616,-72
1411801655944,-71
1411801655985,-71
1411801656641,-71
1411801656674,-71
1411801657344,-71
1411801657383,-71
1411801657702,-72
1411801657732,-72
1411801658781,-72
1411801659141,-72
1411801659491,-72
1411801659837,-72
1411801659859,-72
1411801660205,-73
1411801660263,-73
1411801660556,-72
1411801660597,-72
1411801660907,-71
1411801661074,-71
1411801661291,-72
1411801661313,-72
1411801661619,-72
1411801661652,-72
1411801661979,-72
1411801662020,-72
1411801663070,-71
1411801663093,-71
1411801663832,-71
1411801663881,-71
1411801664107,-71
1411801664168,-71
1411801665161,-72
1411801665195,-72
1411801665519,-72
1411801665568,-72
1411801665974,-72
1411801665997,-72
1411801666208,-73
1411801666230,-73
1411801666565,-72
1411801666591,-72
1411801666938,-72
1411801666971,-72
1411801667315,-73
1411801667349,-73
1411801667636,-72
1411801667668,-72
1411801668034,-74
1411801668057,-74
1411801668342,-72
1411801668374,-72
1411801668716,-72
1411801668765,-72
1411801669409,-73
1411801669446,-73
1411801669766,-72
1411801669806,-72
1411801670543,-72
1411801670563,-72
1411801670827,-73
1411801670871,-73
1411801671184,-72
1411801671263,-72
1411801672708,-72
1411801672731,-72
1411801672955,-73
1411801672987,-73
1411801673315,-72
1411801673701,-72
1411801673727,-72
1411801674383,-72
1411801674441,-72
1411801675141,-72
1411801675162,-72
1411801675439,-72
1411801675469,-72
1411801676140,-72
1411801676159,-72
1411801676506,-72
1411801676536,-72
1411801676860,-71
1411801676901,-71
1411801677256,-72
1411801677298,-72
1411801677916,-73
1411801677944,-73
1411801678279,-72
1411801678314,-72
1411801678632,-73
1411801678666,-73
1411801678974,-73
1411801678999,-73
1411801679354,-72
1411801679374,-72
1411801679685,-72
1411801679715,-72
1411801681126,-72
1411801681173,-72
1411801681481,-73
1411801681506,-73
1411801681814,-73
1411801681847,-73
1411801682222,-72
1411801682247,-72
1411801682532,-72
1411801682577,-72
1411801682882,-72
1411801682915,-72
1411801683984,-72
1411801684021,-72
1411801684322,-72
1411801684344,-72
1411801684680,-72
1411801684820,-72
1411801685399,-73
1411801685448,-73
1411801685730,-72
1411801685757,-72
1411801686091,-73
1411801686131,-73
1411801686449,-72
1411801686475,-72
1411801686793,-71
1411801687281,-68
1411801687308,-68
1411801688922,-72
1411801688944,-72
1411801690072,-71
1411801690153,-71
1411801690349,-73
1411801690502,-73
1411801690690,-72
1411801690722,-72
1411801691101,-72
1411801691124,-72
1411801691402,-73
1411801691427,-73
1411801693683,-71
1411801693708,-71
1411801693940,-73
1411801693966,-73
1411801694371,-72
1411801694408,-72
1411801695079,-72
1411801695112,-72
1411801695373,-71
1411801695407,-71
1411801696171,-73
1411801696196,-73
1411801696417,-72
1411801696453,-72
1411801697113,-72
1411801697145,-72
1411801697540,-72
1411801697566,-72
1411801698184,-72
1411801698233,-72
1411801698542,-72
1411801698690,-72
1411801699295,-71
1411801699324,-71
1411801700023,-72
1411801700049,-72
1411801700309,-71
1411801700346,-71
1411801701042,-72
1411801701067,-72
1411801701416,-72
1411801701450,-72
1411801701726,-72
1411801701760,-72
1411801702466,-72
1411801702504,-72
1411801702850,-71
1411801702933,-71
1411801703144,-72
1411801703183,-72
1411801703609,-71
1411801703628,-71
1411801703846,-71
1411801703878,-71
1411801704288,-72
1411801704315,-72
1411801704963,-71
1411801704995,-71
1411801705326,-72
1411801705363,-72
1411801706125,-73
1411801706150,-73
1411801706331,-72
1411801706357,-72
1411801706684,-71
1411801706723,-71
1411801707097,-72
1411801707128,-72
1411801707746,-73
1411801707786,-73
1411801708174,-71
1411801708258,-71
1411801708612,-73
1411801708833,-72
1411801708869,-72
1411801709221,-71
1411801709300,-71
1411801709533,-72
1411801709555,-72
1411801709915,-72
1411801709958,-72
1411801710249,-72
1411801710273,-72
1411801710751,-72
1411801710773,-72
